ISIN,Name,RIC,Ticker,Sector,Cap
US6311031081,Nasdaq Inc,NDAQ.GTX,NAQ,Financial & Commodity Market Operators & Service Providers (NEC),29242696995
US2193501051,Corning Inc,GLW.GTX,GLW,Display Screens,29011318702
US03076C1062,Ameriprise Financial Inc,A4S.GTX,A4S,Investment Management & Fund Operators (NEC),28989441551
US45168D1046,IDEXX Laboratories Inc,IDXX.GTX,IX1,Veterinary Medical Equipment & Supplies,28940652932
US0718131099,Baxter International Inc,BAX.GTX,BTL,"Medical Equipment, Supplies & Distribution (NEC)",28937472086
US3119001044,Fastenal Co,FAST.GTX,FAS,Industrial Machinery & Equipment Wholesale,28923583853
US5178341070,Las Vegas Sands Corp,LVS.GTX,LCR,Casinos,28755193328
US09062X1037,Biogen Inc,BIIB.GTX,IDP,Biopharmaceuticals,28613794299
US81181C1045,Seagen Inc,SGTG.GTX,SGT,Biotechnology & Medical Research (NEC),28456546506
US2172041061,Copart Inc,CPRT.GTX,CO6,Used Car Dealers,28437523718
US24703L2025,Dell Technologies Inc,12DA.GTX,12DA,Computer Hardware (NEC),28316128904
US3848021040,WW Grainger Inc,GWW.GTX,GWW,Industrial Machinery & Equipment Wholesale,28230460953
US4595061015,International Flavors & Fragrances Inc,IFF.GTX,IFF,Food Ingredients,28166553950
US0534841012,Avalonbay Communities Inc,AVB.GTX,WV8,Residential REITs,28093430539
US26614N1028,Dupont De Nemours Inc,6D81.GTX,6D81,Diversified Chemicals,27870182439
US0311001004,AMETEK Inc,AME.GTX,AK1,Electrical Components & Equipment (NEC),27586130450
US22160N1090,CoStar Group Inc,CSGP.GTX,RLG,Online Services (NEC),27573917957
US29476L1070,Equity Residential,EQR.GTX,EQR,Residential REITs,27524334266
US4404521001,Hormel Foods Corp,HRL.GTX,HO7,Meat Processing,27455675316
US2547091080,Discover Financial Services,DFS.GTX,DC7,Retail & Mortgage Banks,27450985142
US6826801036,ONEOK Inc,OKE.GTX,ONK,Oil & Gas Transportation Services (NEC),27361374159
US7739031091,Rockwell Automation Inc,RWL.GTX,RWL,Electrical Components & Equipment (NEC),27351257989
US4062161017,Halliburton Co,HAL.GTX,HAL,Oil Related Services and Equipment (NEC),27326232693
US5926881054,Mettler-Toledo International Inc,MTD.GTX,MTO,Scientific & Precision Equipment,27288364360
US9024941034,Tyson Foods Inc,TSNa.GTX,TF7A,Meat Processing,27108707758
US74144T1088,T Rowe Price Group Inc,TROW.GTX,TR1,Investment Management & Fund Operators (NEC),27082995720
US0304201033,American Water Works Company Inc,AWK.GTX,AWC,Water Supply & Irrigation Systems,26986201916
US21037T1097,Constellation Energy Corp,E7S.GTX,E7S,Electric Utilities (NEC),26667304600
US30225T1025,Extra Space Storage Inc,EXRS.GTX,FG8,Self-Storage REITs,26612338914
US45841N1072,Interactive Brokers Group Inc,IBKR.GTX,KY6,Brokerage Services,26035602570
US2810201077,Edison International,EIX.GTX,EIX,Electric Utilities (NEC),25849645623
US05722G1004,Baker Hughes Co,68V.GTX,68V,Oil Related Services and Equipment (NEC),25733734198
GB00BMVP7Y09,Royalty Pharma PLC,RPDG.GTX,RPD,Pharmaceuticals (NEC),25387866903
US12504L1098,CBRE Group Inc,RF6.GTX,RF6,Real Estate Services (NEC),25359699665
US2120151012,Continental Resources Inc,CLR.GTX,C5L,Oil & Gas Exploration and Production (NEC),25348360667
US9621661043,Weyerhaeuser Co,WY.GTX,WHC,Timber REITs,25289160399
US2333311072,DTE Energy Co,DGY.GTX,DGY,Electric Utilities (NEC),25251599769
US8574771031,State Street Corp,STT.GTX,ZYA,Investment Management & Fund Operators (NEC),25126783187
US0152711091,Alexandria Real Estate Equities Inc,A6W.GTX,A6W,Commercial REITs (NEC),25030016146
US02043Q1076,Alnylam Pharmaceuticals Inc,ALNY.GTX,DUL,Biotechnology & Medical Research (NEC),24805888948
US4878361082,Kellogg Co,K.GTX,KEL,Food Processing (NEC),24739826530
US23331A1097,D R Horton Inc,DHI.GTX,HO2,Homebuilding (NEC),24723307800
US1270971039,Coterra Energy Inc,COG.GTX,XCQ,Oil & Gas Exploration and Production (NEC),24591846921
US29414B1044,Epam Systems Inc,E3M.GTX,E3M,IT Services & Consulting (NEC),24467209748
US2786421030,eBay Inc,EBAY.GTX,EBA,E-commerce & Auction Services,24243602558
US78486Q1013,SVB Financial Group,SIVB.GTX,SV4,Banks (NEC),24018138628
US98980L1017,Zoom Video Communications Inc,5ZM.GTX,5ZM,Software (NEC),23930669175
US0236081024,Ameren Corp,AEE.GTX,AE4,Multiline Utilities,23930285435
US82968B1035,Sirius XM Holdings Inc,RDO.GTX,RDO,Radio Broadcasting,23715802552
US25278X1090,Diamondback Energy Inc,7DB.GTX,7DB,Oil & Gas Exploration and Production (NEC),23702656610
US29364G1031,Entergy Corp,ETR.GTX,ETY,Electric Utilities (NEC),23454094823
US3167731005,Fifth Third Bancorp,FITB.GTX,FFH,Corporate Banks,23433373064
US25809K1051,DoorDash Inc,DD2G.GTX,DD2,Online Services (NEC),23126199008
US2944291051,Equifax Inc,EFX.GTX,EFX,Professional Information Services (NEC),23103041336
US12514G1085,CDW Corp,CDW.GTX,CDW,IT Services & Consulting (NEC),23086020043
US2644115055,Duke Realty Corp,DRE.GTX,DUR,Industrial REITs,22656821336
US3379321074,FirstEnergy Corp,FE.GTX,FE7,Electric Utilities (NEC),22598683521
US98980G1022,Zscaler Inc,0ZC.GTX,0ZC,System Software,22590215551
US3666511072,Gartner Inc,GART.GTX,GGRA,IT Services & Consulting (NEC),22567071262
US5797802064,McCormick & Company Inc,MCCRn.GTX,MCX,Food Processing (NEC),22558329133
US5797801074,McCormick & Company Inc,MCX0.GTX,MCX0,Food Processing (NEC),22558329133
US34959J1088,Fortive Corp,F03.GTX,F03,Industrial Machinery & Equipment (NEC),22526293036
US7547301090,Raymond James Financial Inc,RJF.GTX,RJF,Investment Banking & Brokerage Services (NEC),22525654519
US98956P1021,Zimmer Biomet Holdings Inc,ZMRHV.GTX,ZIM,"Medical Equipment, Supplies & Distribution (NEC)",22308014343
US9291601097,Vulcan Materials Co,VMC.GTX,VMC,Construction Materials (NEC),22126682162
US3724601055,Genuine Parts Co,GPC.GTX,GPT,Auto & Truck Parts Wholesale,22064642197
US5260571048,Lennar Corp,LEN.GTX,LNN,Residential Builders - Single Homes,21993861123
US60937P1066,MongoDB Inc,526.GTX,526,Server & Database Software,21991604379
US9553061055,West Pharmaceutical Services Inc,WST.GTX,WPS,"Medical Equipment, Supplies & Distribution (NEC)",21969297263
US8447411088,Southwest Airlines Co,LUV.GTX,SWN,Regional Airlines,21775950908
US5732841060,Martin Marietta Materials Inc,MLMT.GTX,MMX,Construction Materials (NEC),21688112219
US03662Q1058,ANSYS Inc,ANSS.GTX,AKX,Application Software,21619149519
US90384S3031,Ulta Beauty Inc,ULTA.GTX,34U,Personal Care Products Retailers,21506370365
US69351T1060,PPL Corp,PPL.GTX,PP9,Multiline Utilities,21408253082
US6098391054,Monolithic Power Systems Inc,MPWR.GTX,NQG,Semiconductors (NEC),21203839020
US70432V1026,Paycom Software Inc,0PY.GTX,0PY,Enterprise Software,21081253417
US4165151048,Hartford Financial Services Group Inc,HIG.GTX,HFF,Multiline Insurance & Brokers (NEC),20781286329
US5380341090,Live Nation Entertainment Inc,LYV.GTX,3LN,Plays & Concert Production,20780253926
US1252691001,CF Industries Holdings Inc,CF.GTX,C4F,Fertilizers,20615494951
US8923561067,Tractor Supply Co,TRCT.GTX,TR4,Miscellaneous Specialty Retailers (NEC),20551666293
US18915M1071,Cloudflare Inc,8CF.GTX,8CF,Cloud Computing Services,20489196915
US9113631090,United Rentals Inc,URI.GTX,UR3,Industrial Equipment Rental,20438525994
US8740541094,Take-Two Interactive Software Inc,TTWO.GTX,TKE,Toys & Children's Products (NEC),20429612069
US1713401024,Church & Dwight Co Inc,CHD.GTX,CXU,Household Products (NEC),20333943027
US74762E1029,Quanta Services Inc,PWR.GTX,QAA,Construction & Engineering (NEC),20209143824
US11133T1034,Broadridge Financial Solutions Inc,BR.GTX,5B9,Compliance & Investor Communication,20078649753
