"Symbol";"Name";"Interesting";"Description";"Assets";"ETF_Currency";"Industry";"Region";"Region_Currency";"Capitalisation";"Weighting";"Type";"P/E";"Dividends";"Long-Short";"Leverage";"ER";"Liquidity";"FX_risk";"Short_Name";"Bloomberg_Ticker";"ISIN";"Indexname";"Bloomberg_Index";"Reuters_Index"
"AGG";"Core Total US Bond Market ETF";"No";"One of the most popular fixed income funds, AGG offers exposure to U.S. investment grade debt. This fund tracks the Barclays Capital U.S. Aggregate Bond Index. With over 1,000 holdings in total, AGG gives investors deep, broad-based, exposure and its fairly cheap expense ratio makes it quite the attractive core holding for many long-term investment portfolios. AGG’s underlying holdings are mainly U.S. Treasuries and Mortgage Backed Securities, although corporate bonds also receive a decent allocation. Less than 10% of the funds holdings are rated “BBB” or lower, and exposure in terms of time to maturity is fairly well balanced although there is more of a focus on longer-term debt. Investors who would prefer to increase their U.S. corporate bond exposure ought to consider LQD or CBND instead.  Cost conscious investors should also note that AGG is available for commission free trading on Fidelty, and TD Ameritrade.:::.";"Bonds";"USD";"State&Corporate";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"A";"A";"No FX risk for USD";"Core Total US Bond Market";"Check";"Check";"Check";"Check";"Check"
"AGLS";"Accuvest Global Long Short ETF";"No";"proprietary country ranking model (40 factors). Highly-ranked countries - long; least-ranked - short. ETF of single-country ETFs. Long position 30% in EM, short position 45% in EM.";"Equity";"USD";"Diversified";"Broad";"Mixed";"Mixed";"proprietary country ranking model";"Long/Short Equities";"No";"No";"Long/Short";"No";"C";"A";"Yes";"Accuvest Global Long Short";"Check";"Check";"Check";"Check";"Check"
"AGQ";"ProShares Ultra Silver";"No";"Ok";"Commodities";"USD";"Precious Metals (Silver)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"Yes";"B+";"A";"Yes";"Ultra Silver";"Check";"Check";"Check";"Check";"Check"
"AGZ";"Barclays Agency Bond";"No";"Ok";"Bonds";"USD";"State (Agency)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C+";"B";"No FX risk for USD";"Agency Bond";"Check";"Check";"Check";"Check";"Check"
"AIA";"S&P Asia 50 Index";"No";"50 leading companies from four Asian countries: Hong Kong, South Korea, Singapore, and Taiwan.";"Equity";"USD";"Diversified";"Emerging Asia";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A-";"B";"Yes";"S&P Asia 50";"Check";"Check";"Check";"Check";"Check"
"ALD";"WisdomTree Asia Local Debt ETF";"No";"This ETF invests in local currency debt from issuers in South Korea, Indonesia, Malaysia, Singapore, Hong Kong, China, India, Thailand, Philippines, Taiwan, and the developed markets of Australia and New Zealand. ALD is one of a kind not only because the fund is actively managed, but also because it’s the first ETF to focus exclusively on Asian debt. The fund will also implement a tiered investment approach, with markets deemed to maintain larger and more liquid debt receiving higher weightings in the fund. A single country cap of 20% will be applied. ALD’s holdings are primarily of high quality and rated “A” or higher, while a small percentage are ranked BBB and lower. In terms of duration there is a major bias towards shorter-term securities, as over two-thirds of the underlying holdings have maturities of 5 years or less.:::.";"Bonds";"USD";"State";"Emerging Asia excl. Japan";"Mixed";"No";"check";"Intermediate-Term";"No";"No";"Long";"No";"B+";"B+";"Yes";"Asia Local Debt";"Check";"Check";"Check";"Check";"Check"
"ALFA";"AlphaClone Alternative Alpha ETF";"No";"ETF of hedge funds holdings: tracks the performance of US-traded equity securities to which hedge funds and institutional investors have disclosed significant exposure. Then ranks hedge funds and institutional investors based on the efficacy of replicating their publicity disclosed positions. Equities are selected from those managers with the highest ranking, or ""Clone Score"". The index can vary between being long only and market hedged (50% short exposure to the S&P 500 index). The hedge is triggered on or off when the S&P 500 crosses its 200 day moving 
average at any month end.";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Mixed";"check";"Long/Short Equities";"No";"No";"Long/Short";"No";"C";"B";"No FX risk for USD";"AlphaClone Alternative Alpha";"Check";"Check";"Check";"Check";"Check"
"AMJ";"JPMorgan Alerian MLP Index ETN";"No";"Alerian MLP Index is a market-cap weighted, float-adjusted index created to provide a comprehensive benchmark for investors to track the performance of the energy MLP sector. The majority of MLPs currently operate in the energy infrastructure industry, owning assets such as pipelines that transport crude oil, natural gas and other refined petroleum products. Master limited partnerships (MLPs). Given that so many MLPs are built around midstream, storage or energy transportation businesses, it’s not too surprising that the energy markets have a meaningful influence on these units. While some MLPs operate in regulated environments where prices are carefully controlled, others do not – in either case, changes in volume (often tied to the economic conditions of the region or country) can significantly impact anticipated distributions and unit prices. MLP ETFs/ETNs are best suited for those more interested in steady income accumulation as opposed to capital gains. Although MLPs don’t tend to be volatile on a day-to-day basis, they can move quite dramatically in response to new interest rate expectations or proposed changes to tax laws.";"Equity";"USD";"Energy";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"B+";"A";"No FX risk for USD";"Alerian MLP";"Check";"Check";"Check";"Check";"Check"
"AMLP";"ALPS Alerian MLP ETF";"No";"Provide the exposure to 25 US energy infrastructure Master Limited Partnerships that earn the majority of their cash flow from the transportation, storage, and processing of energy commodities. The Fund’s accrued deferred tax liability, if any, is reflected each day in the Fund’s net asset value per share. The deferred income tax expense/(benefit) represents an estimate of the Fund’s potential tax expense/(benefit) if it were to recognize the unrealized gains/(losses) in the portfolio";"Equity";"USD";"Energy";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"C";"A+";"No FX risk for USD";"Alerian MLP";"Check";"Check";"Check";"Check";"Check"
"AMU";"UBS E-TRACS Alerian MLP Index ETN";"No";"Master limited partnerships (MLPs). Given that so many MLPs are built around midstream, storage or energy transportation businesses, it’s not too surprising that the energy markets have a meaningful influence on these units. While some MLPs operate in regulated environments where prices are carefully controlled, others do not – in either case, changes in volume (often tied to the economic conditions of the region or country) can significantly impact anticipated distributions and unit prices. MLP ETFs/ETNs are best suited for those more interested in steady income accumulation as opposed to capital gains. Although MLPs don’t tend to be volatile on a day-to-day basis, they can move quite dramatically in response to new interest rate expectations or proposed changes to tax laws.";"Equity";"USD";"Energy";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"B";"No FX risk for USD";"Alerian MLP";"Check";"Check";"Check";"Check";"Check"
"AND";"FTSE Andean 40 ETF";"No";"40 largest companies in Chile, Colombia, and Peru.";"Equity";"USD";"Diversified";"Emerging South and Lat Am";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"B-";"B";"Yes";"Andean 40";"Check";"Check";"Check";"Check";"Check"
"ANGL";"Market Vectors Fallen Angel HY Bond ETF";"No";"This ETF offers exposure to below investment grade corporate bonds denominated in U.S. dollars, issued in the U.S. domestic market, and that were rated investment grade at the time of issuance. The bonds of these companies were once categorized as having relativity low risk, but have since been downgraded to “junk” status. ANGL provides investors with an intriguing opportunity: downgrades lead to significant declines in price, which can create an opportunity to purchase these securities at a discount to their intrinsic value. Taking a closer look under the hood of ANGL reveals that the underlying bonds are typically from large, established companies that fall into the higher end of the junk bond credit quality spectrum.::.";"Bonds";"USD";"Corporate (Junk)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"A-";"C";"No FX risk for USD";"Fallen Angel HY Bond";"Check";"Check";"Check";"Check";"Check"
"AOA";"S&P Aggressive Allocation";"No";"ETF of ETFs";"Alternatives";"USD";"Multi-assets";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A";"A-";"Yes";"S&P Aggressive Allocation";"Check";"Check";"Check";"Check";"Check"
"AOK";"S&P Conservative Allocation";"No";"ETF of ETFs";"Alternatives";"USD";"Multi-assets";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A+";"B+";"Yes";"S&P Conservative Allocation";"Check";"Check";"Check";"Check";"Check"
"AOM";"S&P Moderate Allocation";"No";"ETF of ETFs";"Alternatives";"USD";"Multi-assets";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A";"A-";"Yes";"S&P Moderate Allocation";"Check";"Check";"Check";"Check";"Check"
"AOR";"S&P Growth Allocation";"No";"ETF of ETFs";"Alternatives";"USD";"Multi-assets";"Broad";"Mixed";"No";"check";"No";"High P/E";"No";"Long";"No";"A";"A";"Yes";"S&P Growth Allocation";"Check";"Check";"Check";"Check";"Check"
"ARGT";"Global X FTSE Argentina 20 ETF";"No";"This ETF focuses on companies who generate a substantial amount of their revenues in Argentina. From a sector standpoint, ARGT focuses on basic materials and financial services. This country is currently saddled with severe inflation and political tensions that make it the riskiest holding of this particular portfolio. ARGT features 22 holdings that focus on the basic materials and financial sectors of the Argentinian economy. One interesting thing to note is that the product makes allocations to companies of a market capitalization sizes, giving it diversity in that aspect. Like Colombia, until this economy falls under more stability, it shouldn’t represent a major chunk of any portfolio.:::.";"Equity";"USD";"Diversified";"Emerging South and Lat Am (Argentina)";"ARS";"Mixed";"check";"No";"No";"No";"Long";"No";"B-";"C";"Yes";"Argentina 20";"Check";"Check";"Check";"Check";"Check"
"ASEA";"Global X FTSE ASEAN 40 ETF";"No";"40 largest companies in the five ASEAN regions: Indonesia, Philippines, Singapore (40%), Malaysia (30%) and Thailand. Financials - 40%";"Equity";"USD";"Diversified";"Emerging Asia";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"B-";"B+";"Yes";"ASEAN 40";"Check";"Check";"Check";"Check";"Check"
"AUNZ";"WisdomTree Australia & NZ Debt";"No";"This ETF invests in Australian and New Zealand debt securities denominated in the local currency. The fund invests in government, semi-government, and supranational bonds that have credit rating of AA or above. Australian and New Zealand debt securities tend to have relatively higher yields when compared to other developed market bonds. AUNZ’s strucutre allows investors to gain exposure to both debt and currency movements in Australia and New Zealand. Both countires are major exporters of commodities, which has contributed to their economy’s tremendous growth and strength. AUNZ offers investors an opportunity to profit from the appreciation of Australia’s and New Zealand’s currencies as the demand for raw materials, industrial goods, and agricultural products continues to grow.:::.";"Bonds";"USD";"State&Corporate";"Developed Asia (Australia)";"AUD";"No";"check";"All-Term";"No";"No";"Long";"No";"B";"A";"Yes";"Australia & NZ Debt";"Check";"Check";"Check";"Check";"Check"
"AUSE";"WisdomTree Australia Dividend";"No";"Ok";"Equity";"USD";"Diversified";"Developed Asia (Australia)";"AUD";"Mixed";"check";"No";"No";"Dividends";"Long";"No";"B";"B";"Yes";"Australia Dividend";"Check";"Check";"Check";"Check";"Check"
"AXJL";"WisdomTree Asia-Pacific ex-Japan";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Asia excl. Japan";"Mixed";"Mixed";"check";"No";"No";"Dividends";"Long";"No";"A-";"B";"Yes";"Asia-Pacific ex-Japan";"Check";"Check";"Check";"Check";"Check"
"AYT";"iPath GEMS Asia 8 ETN";"No";"Total return on local currencies in specified Asian markets through short-term, liquid and diversified instruments. The Index constituent currencies are the Indonesian rupiah, the Indian rupee, the Philippine peso, the South Korean won, the Thai baht, the Malaysian ringgit, the Taiwanese dollar and the Chinese yuan.";"Currency";"USD";"Diversified";"Emerging Asia excl. Japan";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"C";"B-";"Yes";"GEMS Asia 8";"Check";"Check";"Check";"Check";"Check"
"BAB";"PowerShares Build America Bond";"No";"Ok";"Bonds";"USD";"Munis";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"B+";"A";"No FX risk for USD";"Build America Bond";"Check";"Check";"Check";"Check";"Check"
"BABS";"SPDR Nuveen Barclays Cap Build Amer Bd";"No";"Ok";"Bonds";"USD";"Munis";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C+";"B";"No FX risk for USD";"Nuveen Cap Build Amer Bd";"Check";"Check";"Check";"Check";"Check"
"BAL";"iPath DJ-UBS Cotton TR Sub-Idx ETN";"No";"Ok";"Commodities";"USD";"Softs (Cotton)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"B";"A";"Yes";"Cotton TR Sub-Idx";"Check";"Check";"Check";"Check";"Check"
"BBH";"Market Vectors Biotech ETF";"No";"Ok";"Equity";"USD";"Healthcare (Biotechnology)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Long";"No";"A";"A-";"No FX risk for USD";"Biotech";"Check";"Check";"Check";"Check";"Check"
"BBRC";"EGShares Beyond BRICs ETF";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"C+";"B-";"Yes";"Beyond BRICs";"Check";"Check";"Check";"Check";"Check"
"BCM";"iPath Pure Beta Broad Commodity ETN";"No";"Ok";"Commodities";"USD";"Diversified";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"A-";"A-";"Yes";"Pure Beta Broad Commodity";"Check";"Check";"Check";"Check";"Check"
"BDCL";"E-TRACS 2xLeveraged Long Wells Fargo Business Development Company ETN ";"No";"The index is a float adjusted, capitalization-weighted Index that is intended to measure the performance of all Business Development Companies that are listed on the New York Stock Exchange or NASDAQ and satisfy specified market capitalization and other eligibility requirements. To qualify as a BDC, the company must be registered with the Securities and Exchange Commission and have elected to be regulated as a BDC under the Investment Company Act of 1940";"Equity";"USD";"Financials (Business Development Company)";"Developed North America (US)";"USD";"Mixed";"Free-float-adjusted cap";"No";"No";"No";"Long";"Yes";"A";"B+";"No FX risk for USD";"2xLeveraged Long Business Development Company ";"Check";"Check";"Check";"Check";"Check"
"BDCS";"UBS E-TRACS Wells Fargo Bus Dev Comp ETN";"No";"This ETF offers exposure to the performance of all Business Development Companies listed on the New York Stock Exchange or NASDAQ. This ETF tracks the Wells Fargo Business Development Company Index. This ETF is one of a kind in that it offers targeted exposure within a selective corner of the small cap equity market that bears a risk profile similar to venture capital investments–an asset class that would otherwise be difficult for most investors to access. Business Development Companies help grow small businesses in the initial stages of their development, however unlike venture capital funds, BDCs allow smaller, non-accredited investors to invest in startup companies.It should be noted that BDCS is an ETN, meaning that investors are exposed to the credit risk of the issuing institution. Those who would prefer to avoid the ETN structure may want to examine PDP, an ETF from PowerShares that offers exposure to global private equity companies. BDCS’s hefty expense fee of 0.85%.:::.";"Equity";"USD";"Financials (Business Development Company)";"Developed North America (US)";"USD";"Small";"check";"No";"No";"No";"Long";"No";"C";"B+";"No FX risk for USD";"Bus Dev Comp";"Check";"Check";"Check";"Check";"Check"
"BDD";"PowerShares DB Base Metals Dble Long ETN";"No";"Ok";"Commodities";"USD";"Industrial Metals";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"Yes";"A-";"B-";"Yes";"Base Metals Dble Long";"Check";"Check";"Check";"Check";"Check"
"BFOR";"Barron's 400SM ETF";"MarketGrader";"Invests in the highest rated companies in the U.S. stock market according to MarketGrader's fundamental analysis, which measures them based on growth, valuation, profitability and cash flow. All 400 components in the underlying index are equally weighted at each semi-annual rebalance. Consum Discr 22%, IT 17%";"Equity";"USD";"Diversified";"Developed North America (US)";"USD";"Mixed";"Equally";"Fundamentals";"No";"No";"Long";"No";"B-";"Check";"No FX risk for USD";"Barron's 400SM";"Check";"Check";"Check";"Check";"Check"
"BIB";"ProShares Ultra Nasdaq Biotechnology";"modified";"The NASDAQ Biotechnology Index is a modified capitalization weighted index that includes securities of The NASDAQ Stock Market listed companies that are classified as either biotechnology or pharmaceutical. This Ultra ProShares ETF seeks a return that is 2x the return of an index or other benchmark.";"Equity";"USD";"Healthcare (Biotechnology)";"Developed North America (US)";"USD";"Mixed";"Capitalisation";"No";"No";"No";"Long";"Yes";"A-";"B+";"No FX risk for USD";"Ultra Nasdaq Biotechnology";"Check";"Check";"Check";"Check";"Check"
"BICK";"First Trust BICK Index";"No";"largest and most liquid public companies that are domiciled in Brazil, India, Mainland China and South Korea";"Equity";"USD";"Diversified";"Emerging Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"B";"C+";"Yes";"BICK";"Check";"Check";"Check";"Check";"Check"
"BIK";"SPDR S&P BRIC 40";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Broad";"Mixed";"Large";"check";"No";"No";"No";"Long";"No";"A-";"B+";"Yes";"S&P BRIC 40";"Check";"Check";"Check";"Check";"Check"
"BIL";"SPDR Barclays Capital 1-3 Month T-Bill";"No";"Ok";"Bonds";"USD";"State";"Developed North America (US)";"USD";"No";"check";"Ultra Short-Term";"No";"No";"Long";"No";"A+";"A+";"No FX risk for USD";"Capital 1-3 Month T-Bill";"Check";"Check";"Check";"Check";"Check"
"BIS";"ProShares UltraShort Nasdaq Biotech";"No";"The NASDAQ Biotechnology Index is a modified capitalization weighted index that includes securities of The NASDAQ Stock Market listed companies that are classified as either biotechnology or pharmaceutical. This Ultra ProShares ETF seeks a return that is -2x the return of an index or other benchmark.";"Equity";"USD";"Healthcare (Biotechnology)";"Developed North America (US)";"USD";"Mixed";"check";"No";"No";"No";"Short";"Yes";"A-";"B-";"No FX risk for USD";"UltraShort Nasdaq Biotech";"Check";"Check";"Check";"Check";"Check"
"BIV";"Vanguard Intermediate-Term Bond ETF";"No";"Ok";"Bonds";"USD";"State&Corporate";"Developed North America (US)";"USD";"No";"check";"Intermediate-Term";"No";"No";"Long";"No";"A";"A-";"No FX risk for USD";"Intermediate-Term Bond";"Check";"Check";"Check";"Check";"Check"
"BJK";"Market Vectors Gaming ETF";"No";"This fund provides exposure to the global gaming industry. This ETF is made up of around fifty holdings that generate the majority of their revenues in the global gaming industry. U.S. companies makes up about a third of the total assets, with the rest going to f Hong Kong, Malaysia, the U.K. and Australia. Nine of the top ten holdings are in resort casinos, which account for approximately half of the portfolio from an industry breakdown perspective.:::.";"Equity";"USD";"Consumer (Gaming)";"Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"C+";"B";"Yes";"Gaming";"Check";"Check";"Check";"Check";"Check"
"BKF";"MSCI BRIC Index";"No";"Ok";"Equity";"USD";"Diversified";"Emerging Broad";"Mixed";"Mixed";"check";"No";"No";"No";"Long";"No";"B-";"B+";"Yes";"BRIC";"Check";"Check";"Check";"Check";"Check"
"BKLN";"PowerShares Senior Loan Port";"No";"Ok";"Bonds";"USD";"Corporate (Bank Loans)";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C+";"A";"No FX risk for USD";"Senior Loan Port";"Check";"Check";"Check";"Check";"Check"
"BLNG";"iPath Pure Beta Precious Metals ETN";"No";"Ok";"Commodities";"USD";"Precious Metals";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"B-";"C";"Yes";"Pure Beta Precious Metals";"Check";"Check";"Check";"Check";"Check"
"BLV";"Vanguard Long-Term Bond Index ETF";"No";"Ok";"Bonds";"USD";"State&Corporate";"Developed North America (US)";"USD";"No";"check";"Long-Term";"No";"No";"Long";"No";"A-";"B+";"No FX risk for USD";"Long-Term Bond";"Check";"Check";"Check";"Check";"Check"
"BND";"Vanguard Total Bond Market ETF";"No";"This ETF offers exposure to investment grade sector of the U.S. corporate bond market, including corporate bonds, Treasuries, and debt issued by agencies of the U.S. government. U.S. Treasuries receive the heaviest allocation, while exposure is also diversified across U.S. Corporate and Agency bonds. We like BND over AGG because of the advantages in expense ratio and depth of holdings.:::.";"Bonds";"USD";"State&Corporate";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"A";"A+";"No FX risk for USD";"Total Bond Market";"Check";"Check";"Check";"Check";"Check"
"BNO";"United States Brent Oil";"No";"Ok";"Commodities";"USD";"Energy (Brent Oil)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"No";"C+";"A-";"Yes";"United States Brent Oil";"Check";"Check";"Check";"Check";"Check"
"BOIL";"ProShares Ultra DJ-UBS Natural Gas";"No";"Ok";"Commodities";"USD";"Energy (Natural Gas)";"Broad";"Mixed";"No";"check";"No";"No";"No";"Long";"Yes";"B+";"B+";"Yes";"Ultra Natural Gas";"Check";"Check";"Check";"Check";"Check"
"BOM";"PowerShares DB Base Metals Dble Shrt ETN";"No";"Ok";"Commodities";"USD";"Industrial Metals";"Broad";"Mixed";"No";"check";"No";"No";"No";"Short";"Yes";"A";"B-";"Yes";"Base Metals Dble Shrt";"Check";"Check";"Check";"Check";"Check"
"BOND";"PIMCO Total Return ETF";"No";"Ok";"Bonds";"USD";"State&Corporate";"Developed North America (US)";"USD";"No";"check";"All-Term";"No";"No";"Long";"No";"C";"A";"No FX risk for USD";"Total Return";"Check";"Check";"Check";"Check";"Check"
"BOS";"PowerShares DB Base Metals Short ETN";"No";"Ok";"Commodities";"USD";"Industrial Metals";"Broad";"Mixed";"No";"check";"No";"No";"No";"Short";"No";"B+";"B";"Yes";"Base Metals Short";"Check";"Check";"Check";"Check";"Check"
"BRAF";"Global X Brazil Financials ETF";"No";"Ok";"Equity";"USD";"Financials";"Emerging South and Lat Am (Brazil)";"BRL";"Mixed";"check";"No";"No";"No";"Long";"No";"C";"C+";"Yes";"Brazil Financials";"Check";"Check";"Check";"Check";"Check"
"BRAQ";"Global X Brazil Consumer ETF";"No";"Food & Bev 50%";"Equity";"USD";"Consumer (Staples)";"Emerging South and Lat Am (Brazil)";"BRL";"Mixed";"check";"No";"No";"No";"Long";"No";"C+";"B";"Yes";"Brazil Consumer";"Check";"Check";"Check";"Check";"Check"
"BRAZ";"Global X Brazil Mid Cap ETF";"No";"Ok";"Equity";"USD";"Diversified";"Emerging South and Lat Am (Brazil)";"BRL";"Medium";"check";"No";"No";"No";"Long";"No";"B-";"B+";"Yes";"Brazil Mid Cap";"Check";"Check";"Check";"Check";"Check"
"BRF";"Market Vectors Brazil Small-Cap ETF";"No";"This ETF offers exposure to small cap companies that are domiciled and primarily listed on an exchange in Brazil or that generate at least 50% of their revenues in Brazil. BRF is an essential tactical holding since Brazil is a major exporter of everything from sugar and orange juice to soybeans and oil. This ETF holds a basket of approximately 70 securities and is well diversified across mid, small, and micro caps. From a sector breakdown perspective, consumer cyclicals are the top allocation; this is a major benefit in our opinion as BRF’s underlying holdings are well positioned to profit from Brazil’s increasing population growth and favorable local consumption patterns.:::.";"Equity";"USD";"Diversified";"Emerging South and Lat Am (Brazil)";"BRL";"Small";"check";"No";"No";"No";"Long";"No";"A-";"A-";"Yes";"Brazil Small-Cap";"Check";"Check";"Check";"Check";"Check"
"BRXX";"EGShares Brazil Infrastructure";"No";"ER=0.85% The Indxx Brazil Infrastructure Index is a free-float market capitalization weighted stock market index comprised of 30 leading companies that Indxx, LLC determines to be representative of Brazil's Infrastructure industries, as defined by the Industry Classification Benchmark (ICB).";"Equity";"USD";"Utilities (Infrastructure)";"Emerging South and Lat Am (Brazil)";"BRL";"Mixed";"Free-float-adjusted cap";"No";"No";"No";"Long";"No";"C";"A-";"Yes";"Brazil Infrastructure";"Check";"Check";"Check";"Check";"Check"
"BSCF";"Guggenheim BulletShares 2015 Corp Bond";"No";"Ok";"Bonds";"USD";"Corporate (Investment Grade)";"Developed North America (US)";"USD";"No";"check";"Short-Term";"No";"No";"Long";"No";"B-";"A-";"No FX risk for USD";"2015 Corp Bond";"Check";"Check";"Check";"Check";"Check"
"BSCG";"Guggenheim BulletShares 2016 Corp Bond";"No";"Ok";"Bonds";"USD";"Corporate (Investment Grade)";"Developed North America (US)";"USD";"No";"check";"Intermediate-Term";"No";"No";"Long";"No";"B-";"B+";"No FX risk for USD";"2016 Corp Bond";"Check";"Check";"Check";"Check";"Check"
